run_id,detector,image_role,num_keypoints,detect_time_ms,describe_time_ms,avg_keypoint_scale,avg_response
run_20250926_092253,sift,pano,4386,290.489,106.095,4.640,0.027
run_20250926_092253,sift,new,6352,157.576,130.905,3.976,0.027
