run_id,detector,image_role,num_keypoints,detect_time_ms,describe_time_ms,avg_keypoint_scale,avg_response
run_20250926_151535,akaze,pano,2561,176.419,126.201,8.149,0.003
run_20250926_151535,akaze,new,2907,142.805,132.087,7.708,0.003
