run_id,detector,image_role,num_keypoints,detect_time_ms,describe_time_ms,avg_keypoint_scale,avg_response
run_20250926_151433,sift,pano,1695,401.183,134.207,7.182,0.051
run_20250926_151433,sift,new,1899,215.679,148.919,6.604,0.041
