run_id,detector,knn_k,raw_matches,raw_match_time_ms,ratio,kept_matches,filter_time_ms,dist_mean,dist_std
run_20250926_155659,akaze,2,2636,3709.681,0.80,696,0.040,355.591311,82.815397
run_20250926_155659,akaze,2,4044,2789.074,0.80,127,0.049,418.933460,68.047516
